id,teacher,model,input_tokens,output_tokens,hit_token_cap,error,generation_time_s,timestamp
84,oss,api-gpt-oss-120b,302,135,False,,0.8,2026-05-19T15:16:41.842486+00:00
85,sonnet,claude-sonnet-4-6,282,188,False,,4.19,2026-05-19T15:16:46.243438+00:00
85,gpt4,gpt-5.4,255,113,False,,2.29,2026-05-19T15:16:46.142569+00:00
85,oss,api-gpt-oss-120b,316,427,False,,2.38,2026-05-19T15:16:46.156934+00:00
86,sonnet,claude-sonnet-4-6,256,40,False,,2.1,2026-05-19T15:16:48.536512+00:00
86,gpt4,gpt-5.4,230,107,False,,2.09,2026-05-19T15:16:48.439550+00:00
86,oss,api-gpt-oss-120b,291,176,False,,1.1,2026-05-19T15:16:48.443182+00:00
87,sonnet,claude-sonnet-4-6,344,122,False,,4.29,2026-05-19T15:16:52.952487+00:00
87,gpt4,gpt-5.4,306,154,False,,2.66,2026-05-19T15:16:52.840527+00:00
87,oss,api-gpt-oss-120b,367,305,False,,1.69,2026-05-19T15:16:52.940057+00:00
88,sonnet,claude-sonnet-4-6,739,942,False,,17.4,2026-05-19T15:17:13.142610+00:00
88,gpt4,gpt-5.4,691,272,False,,4.18,2026-05-19T15:17:12.845378+00:00
88,oss,api-gpt-oss-120b,752,3640,False,,19.79,2026-05-19T15:17:12.938908+00:00
89,sonnet,claude-sonnet-4-6,240,401,False,,7.4,2026-05-19T15:17:21.039466+00:00
89,gpt4,gpt-5.4,217,122,False,,2.3,2026-05-19T15:17:20.748758+00:00
89,oss,api-gpt-oss-120b,278,578,False,,3.2,2026-05-19T15:17:20.862822+00:00
90,sonnet,claude-sonnet-4-6,219,97,False,,2.6,2026-05-19T15:17:28.847442+00:00
90,gpt4,gpt-5.4,198,95,False,,7.6,2026-05-19T15:17:28.839308+00:00
90,oss,api-gpt-oss-120b,259,171,False,,1.0,2026-05-19T15:17:28.843097+00:00
91,sonnet,claude-sonnet-4-6,703,1459,False,,20.6,2026-05-19T15:18:08.142619+00:00
91,gpt4,gpt-5.4,670,222,False,,3.5,2026-05-19T15:18:07.941538+00:00
91,oss,api-gpt-oss-120b,731,7055,False,,38.9,2026-05-19T15:18:08.040288+00:00
92,sonnet,claude-sonnet-4-6,1124,235,False,,3.59,2026-05-19T15:18:12.340605+00:00
92,gpt4,gpt-5.4,916,299,False,,3.99,2026-05-19T15:18:12.239077+00:00
92,oss,api-gpt-oss-120b,977,573,False,,3.2,2026-05-19T15:18:12.243693+00:00
93,sonnet,claude-sonnet-4-6,426,16384,True,,114.29,2026-05-19T15:20:06.744808+00:00
93,gpt4,gpt-5.4,397,1173,False,,15.5,2026-05-19T15:20:06.641119+00:00
93,oss,api-gpt-oss-120b,458,10047,False,,57.7,2026-05-19T15:20:06.650079+00:00
94,sonnet,claude-sonnet-4-6,551,709,False,,9.79,2026-05-19T15:20:16.739729+00:00
94,gpt4,gpt-5.4,490,197,False,,2.69,2026-05-19T15:20:16.639113+00:00
94,oss,api-gpt-oss-120b,551,1270,False,,8.68,2026-05-19T15:20:16.647899+00:00
95,sonnet,claude-sonnet-4-6,384,1245,False,,19.59,2026-05-19T15:21:57.345177+00:00
